epiweek,end_date,region,fips,covid_hospitalizations,flu_hospitalizations,doctor_visits,symptom_Fever,symptom_Low_grade_fever,symptom_Cough,symptom_Sore_throat,symptom_Headache,symptom_Fatigue,symptom_Vomiting,symptom_Diarrhea,symptom_Shortness_of_breath,symptom_Chest_pain,symptom_Dizziness,symptom_Confusion,symptom_Generalized_tonic_clonic_seizure,percent_ili,ilitotal,num_of_providers,total_patients,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b
202001,2020-01-04,US,US,396,3,,4.6825,0.225,10.0425,2.8275,4.4975,4.3975,3.5,4.35,0.74,1.42,1.665,0.2175,0.185,5.91974,88681,2957,1423620,65177,5645,9664,23.4883,8.66103,14.8273
202002,2020-01-11,US,US,264,2,,4.475714285714285,0.2057142857142857,8.751428571428571,2.4614285714285713,4.2457142857142856,4.518571428571429,3.0028571428571427,4.038571428571428,0.7028571428571428,1.3442857142857143,1.5657142857142858,0.2342857142857143,0.2,4.94176,75585,2987,1490905,60717,6109,7928,23.1187,10.0614,13.0573
202003,2020-01-18,US,US,0,0,,4.658571428571428,0.21714285714285714,7.818571428571429,2.3000000000000003,4.17,4.508571428571428,3.007142857142857,4.011428571428572,0.6900000000000001,1.302857142857143,1.5814285714285714,0.23285714285714285,0.21714285714285714,5.33174,79746,2983,1488404,60316,7712,8020,26.0826,12.786,13.2966
202004,2020-01-25,US,US,0,0,,4.881428571428572,0.24000000000000002,8.291428571428572,2.402857142857143,5.021428571428571,4.558571428571429,3.174285714285714,4.131428571428572,0.71,1.3214285714285714,1.612857142857143,0.23285714285714285,0.19857142857142857,6.08106,90072,2984,1494697,64502,9478,8764,28.2813,14.6941,13.5872
202005,2020-02-01,US,US,0,0,,5.262857142857143,0.2814285714285714,8.821428571428571,2.5785714285714287,4.268571428571429,4.598571428571428,3.192857142857143,4.134285714285714,0.7571428571428571,1.3585714285714285,1.6542857142857144,0.2414285714285714,0.20142857142857143,6.74724,108307,2984,1575900,72224,12102,9671,30.1465,16.7562,13.3903
202006,2020-02-08,US,US,0,0,,5.25,0.2842857142857143,8.781428571428572,2.657142857142857,4.191428571428571,4.575714285714286,3.2800000000000002,4.132857142857143,0.777142857142857,1.3642857142857143,1.562857142857143,0.2357142857142857,0.19285714285714287,6.7998,111289,2994,1571300,71868,12960,8787,30.2596,18.0331,12.2266
202007,2020-02-15,US,US,0,0,,4.99,0.26285714285714284,8.292857142857143,2.575714285714286,4.21,4.55,3.1999999999999997,4.101428571428571,0.7485714285714286,1.3542857142857143,1.587142857142857,0.24,0.20142857142857143,6.11292,95418,2958,1533883,69257,13372,7180,29.675,19.3078,10.3672
202008,2020-02-22,US,US,0,0,,4.784285714285715,0.25,8.062857142857142,2.552857142857143,4.341428571428572,4.681428571428571,3.1485714285714286,4.087142857142857,0.7571428571428571,1.352857142857143,1.6300000000000001,0.24285714285714285,0.19857142857142857,5.55671,79832,2909,1420123,65212,12714,5755,28.3215,19.4964,8.82506
202009,2020-02-29,US,US,0,0,,5.112857142857143,0.24571428571428572,8.202857142857143,2.5471428571428567,4.234285714285714,4.581428571428572,3.0942857142857143,4.147142857142858,0.7828571428571429,1.3242857142857143,1.592857142857143,0.2542857142857143,0.19285714285714287,5.12279,74809,2934,1466192,62427,11713,4363,25.7517,18.7627,6.98896
202010,2020-03-07,US,US,0,0,,5.545714285714285,0.2871428571428571,9.23857142857143,2.9857142857142853,4.071428571428571,4.507142857142857,3.0342857142857143,4.151428571428571,0.8842857142857143,1.3257142857142858,1.5271428571428571,0.33,0.19142857142857145,5.26652,78779,2901,1489410,64149,11050,3378,22.4914,17.2255,5.26587
202011,2020-03-14,US,US,0,0,,9.172857142857143,0.5057142857142857,12.494285714285715,3.3957142857142855,3.8200000000000003,4.502857142857143,2.9257142857142857,4.427142857142857,1.2942857142857143,1.4314285714285713,1.3800000000000001,0.3,0.16999999999999998,5.67081,89571,2836,1423503,74416,9077,2690,15.8125,12.1976,3.61481
202012,2020-03-21,US,US,0,0,,15.585714285714285,0.8228571428571428,12.854285714285714,4.05,4.195714285714286,3.7028571428571433,2.4557142857142855,4.195714285714286,1.8071428571428572,1.7442857142857144,1.22,0.20142857142857143,0.1385714285714286,6.38029,78584,2798,1068755,73090,4131,1352,7.50171,5.65194,1.84977
202013,2020-03-28,US,US,0,0,,11.005714285714287,0.7271428571428571,9.56857142857143,2.942857142857143,4.45,3.755714285714286,2.2671428571428573,3.755714285714286,1.75,1.8671428571428572,1.3228571428571427,0.21714285714285714,0.1385714285714286,4.91692,53142,2727,853431,44754,759,280,2.32158,1.69594,0.625642
202014,2020-04-04,US,US,0,0,,8.541428571428572,0.5585714285714285,7.558571428571428,2.357142857142857,4.424285714285714,3.86,2.197142857142857,3.572857142857143,1.5285714285714285,1.7857142857142858,1.3657142857142859,0.21714285714285714,0.1457142857142857,3.78625,36251,2684,750546,30838,196,122,1.0312,0.635579,0.395616
202015,2020-04-11,US,US,78,0,,6.58,0.43571428571428567,5.954285714285715,1.9714285714285715,4.251428571428571,3.7199999999999998,2.14,3.394285714285714,1.2785714285714285,1.6485714285714284,1.4028571428571428,0.24428571428571427,0.15,2.80122,24974,2686,718953,19572,75,46,0.61823,0.3832,0.23503
202016,2020-04-18,US,US,117,0,,4.99,0.31857142857142856,4.494285714285715,1.4985714285714287,4.024285714285715,3.6785714285714284,2.1128571428571425,3.25,0.9885714285714285,1.4585714285714284,1.412857142857143,0.2642857142857143,0.15,2.12879,18265,2666,709645,14443,58,32,0.623139,0.401579,0.221561
